Municipio;Zona;Sessao;Local;Voto;InicioAguardando;TituloDigitado;InicioDigital;FimDigital;Habilitacao;Voto1;Voto2;Voto3;Voto4;Voto5;FimVotacao;SucessoDigital;TentativasDigital;TeclasIndevidas;TempoTotal;TempoVotacao;TempoOcioso;TempoHabilitacao;TempoVoto1;TempoVoto2;TempoVoto3;TempoVoto4;TempoVoto5;ClassTempoTotal;ClassTempoVotacao;ClassTempoOcioso;ClassTempoHabilitacao;ClassTempoVoto1;ClassTempoVoto2;ClassTempoVoto3;ClassTempoVoto4;ClassTempoVoto5;
28657;16;62;1139;1;2022-10-02 08:00:01;2022-10-02 08:04:12;2022-10-02 08:04:15;2022-10-02 08:03:28;2022-10-02 08:05:53;2022-10-02 08:06:22;2022-10-02 08:06:34;2022-10-02 08:06:39;2022-10-02 08:06:50;2022-10-02 08:06:57;2022-10-02 08:06:59;False;7;1;418;66;352;101;29;12;5;11;7;A2;MA;A2;A2;MA;MB;B1;MA;MA;
28657;16;62;1139;2;2022-10-02 08:07:01;2022-10-02 08:07:35;2022-10-02 08:07:38;2022-10-02 08:08:30;2022-10-02 08:08:33;2022-10-02 08:08:49;2022-10-02 08:08:54;2022-10-02 08:09:00;2022-10-02 08:09:05;2022-10-02 08:09:11;2022-10-02 08:09:13;True;3;2;132;40;92;58;16;5;6;5;6;MA;B1;A1;A2;MA;B1;MB;MB;MA;
28657;16;62;1139;3;2022-10-02 08:09:15;2022-10-02 08:10:00;2022-10-02 08:10:05;2022-10-02 08:10:21;2022-10-02 08:10:23;2022-10-02 08:10:51;2022-10-02 08:11:04;2022-10-02 08:11:13;2022-10-02 08:11:20;2022-10-02 08:11:28;2022-10-02 08:11:29;True;0;0;134;66;68;23;28;13;9;7;8;MA;MA;MA;B1;MA;MB;MB;MB;MA;
28657;16;62;1139;4;2022-10-02 08:11:31;2022-10-02 08:12:29;2022-10-02 08:12:45;2022-10-02 08:12:57;2022-10-02 08:12:59;2022-10-02 08:13:45;2022-10-02 08:14:05;2022-10-02 08:14:24;2022-10-02 08:14:32;2022-10-02 08:14:36;2022-10-02 08:14:38;True;0;0;187;99;88;30;46;20;19;8;4;A2;A1;A1;MB;MA;A1;A1;MB;MA;
28657;16;62;1139;5;2022-10-02 08:14:39;2022-10-02 08:15:03;2022-10-02 08:15:06;2022-10-02 08:15:54;2022-10-02 08:16:18;2022-10-02 08:16:40;2022-10-02 08:16:58;2022-10-02 08:17:07;2022-10-02 08:17:15;2022-10-02 08:17:21;2022-10-02 08:17:23;False;4;1;164;65;99;75;22;18;9;8;6;A1;MB;A2;A2;MA;MA;MB;MB;MA;
28657;16;62;1139;6;2022-10-02 08:17:25;2022-10-02 08:17:50;2022-10-02 08:18:00;2022-10-02 08:18:18;2022-10-02 08:18:20;2022-10-02 08:18:33;2022-10-02 08:18:37;2022-10-02 08:18:42;2022-10-02 08:18:48;2022-10-02 08:18:51;2022-10-02 08:18:53;True;1;0;88;33;55;30;13;4;5;6;3;B1;B1;MB;MB;MA;B1;B1;MB;MA;
28657;16;62;1139;7;2022-10-02 08:18:54;2022-10-02 08:19:20;2022-10-02 08:19:24;2022-10-02 08:20:06;2022-10-02 08:20:29;2022-10-02 08:20:39;2022-10-02 08:20:46;2022-10-02 08:20:50;2022-10-02 08:20:58;2022-10-02 08:21:01;2022-10-02 08:21:03;False;4;0;129;34;95;69;10;7;4;8;3;MB;B1;A1;A2;MA;B1;B1;MB;MA;
28657;16;62;1139;8;2022-10-02 08:21:05;2022-10-02 08:21:43;2022-10-02 08:21:47;2022-10-02 08:21:55;2022-10-02 08:21:57;2022-10-02 08:22:35;2022-10-02 08:22:52;2022-10-02 08:23:01;2022-10-02 08:23:09;2022-10-02 08:23:16;2022-10-02 08:23:18;True;0;0;133;81;52;14;38;17;9;8;7;MA;MA;MB;B1;MA;MA;MB;MB;MA;
28657;16;62;1139;9;2022-10-02 08:23:19;2022-10-02 08:25:12;2022-10-02 08:25:17;2022-10-02 08:25:26;2022-10-02 08:25:27;2022-10-02 08:25:41;2022-10-02 08:25:47;2022-10-02 08:25:55;2022-10-02 08:26:15;2022-10-02 08:26:20;2022-10-02 08:26:22;True;0;3;183;55;128;15;14;6;8;20;5;A2;MB;A2;B1;MA;B1;MB;A2;MA;
28657;16;62;1139;10;2022-10-02 08:26:24;2022-10-02 08:26:43;0001-01-01 00:00:00;0001-01-01 00:00:00;2022-10-02 08:27:17;2022-10-02 08:27:52;2022-10-02 08:28:01;2022-10-02 08:28:09;2022-10-02 08:28:19;2022-10-02 08:28:24;2022-10-02 08:28:26;False;0;1;122;69;53;34;35;9;8;10;5;MB;MA;MB;MB;MA;MB;MB;MA;MA;
28657;16;62;1139;11;2022-10-02 08:28:28;2022-10-02 08:28:48;2022-10-02 08:28:55;2022-10-02 08:29:13;2022-10-02 08:29:14;2022-10-02 08:29:33;2022-10-02 08:29:41;2022-10-02 08:29:48;2022-10-02 08:29:53;2022-10-02 08:29:58;2022-10-02 08:30:00;True;1;2;92;46;46;26;19;8;7;5;5;B1;B1;B1;MB;MA;B1;MB;MB;MA;
